kate_symes_000_1_1.pst.23.xls,11,22,11,22,11
mark_taylor_000_1_1.pst.204.xls,211,212,211,212,211
chris_dorland_000_1_1_1.pst.27.xls,102,243,258,92,106
louise_kitchen_000_1_1_1_1.pst.247.xls,15389,21465,31065,21465,31065
dan_hyvl_000_1_1.pst.110.xls,23,38,19,19,10
mark_taylor_000_1_1.pst.135.xls,54,108,54,32,16
david_delainey_000_1_1_1.pst.42.xls,4711,9419,4719,3485,1752
lisa_gang_000_1_1.pst.197.xls,306,451,1364,451,1364
tracy_geaccone_000_1_1.pst.38.xls,1972,3820,2668,2518,2015
lisa_gang_000_1_1.pst.266.xls,15,24,15,24,15
scott_neal_000_1_1.pst.144.xls,29,53,45,53,45
jonathan_mckay_000_1_1.pst.142.xls,56,101,106,65,62
jason_wolfe_000_1_1.pst.12.xls,82,164,82,4,2
michelle_cash_000_1_1_1.pst.68.xls,1729,3179,4472,2903,2899
kate_symes_000_1_1.pst.266.xls,45,113,90,6,4
vladi_pimenov_000_1_1.pst.25.xls,362,364,362,364,362
tracy_geaccone_000_1_1.pst.48.xls,379,678,527,580,480
michelle_lokay_000_1_2_1.pst.362.xls,22,46,32,46,32
phillip_m_love_000_1_1.pst.159.xls,212,621,523,329,323
phillip_allen_000_1_1.pst.100.xls,28,41,40,47,35
larry_campbell_000_1_1.pst.635.xls,389,627,720,210,227
errol_mclaughlin_jr_000_1_1.pst.293.xls,26,52,35,39,29
benjamin_rogers_001_1_1.pst.237.xls,101,198,99,12,6
chris_germany_000_1_2.pst.1.xls,906,1835,1810,1725,1700
richard_ring_000_1_1.pst.105.xls,20,25,13,25,13
paul_y'barbo_000_1_1.pst.39.xls,103,168,179,168,179
john_lavorato_000_1_1_1.pst.22.xls,116,253,200,21,14
richard_shapiro_001_1_1_1.pst.0.xls,67,144,112,66,55
scott_neal_000_1_1.pst.311.xls,82,245,163,83,55
joe_parks_000_1_1.pst.224.xls,53,159,106,3,2
scott_neal_000_1_1.pst.100.xls,2339,4179,4661,4106,4611
john_lavorato_000_1_1_1.pst.57.xls,37546,47279,183193,31884,165802
errol_mclaughlin_jr_000_1_1.pst.323.xls,209,418,209,26,13
phillip_allen_000_1_1.pst.118.xls,115,230,173,64,48
stacey_white_000_1_1.pst.138.xls,21,43,22,43,22
kimberly_watson_000_1_1.pst.130.xls,25,44,40,44,40
jason_wolfe_000_1_1.pst.136.xls,327,749,605,709,565
kate_symes_000_1_1.pst.1117.xls,352,1564,1216,128,112
lisa_gang_000_1_1.pst.185.xls,4865,9996,6987,9369,6669
rick_buy_000_1_1_1_1.pst.182.xls,752,760,511,674,415
kevin_hyatt_000_1_1.pst.198.xls,783,914,929,349,354
phillip_allen_000_1_1.pst.140.xls,22,38,29,29,25
lisa_gang_000_1_1.pst.83.xls,171,342,171,69,35
vkaminski_000_1_1_1.pst.258.xls,25452,49551,49767,49551,49767
monika_causholli_000_1_1.pst.119.xls,834,1547,1660,1411,1390
rick_buy_000_1_1_1_1.pst.145.xls,390,771,520,457,359
kevin_presto_000_1_1.pst.337.xls,103,80,80,80,80
phillip_m_love_000_1_1.pst.614.xls,57,159,108,30,22
kevin_hyatt_000_1_1.pst.24.xls,37,51,39,36,29
chris_germany_000_1_2.pst.1050.xls,393,603,600,425,252
vkaminski_001_1_2_1.pst.42.xls,625,1194,1284,796,695
chris_germany_000_1_2.pst.1107.xls,5849,6906,6747,884,1016
errol_mclaughlin_jr_000_1_1.pst.127.xls,11,22,11,22,11
dutch_quigley_000_1_1.pst.107.xls,53,136,98,19,14
tracy_geaccone_000_1_1.pst.447.xls,1178,1639,1984,1499,1737
kate_symes_000_1_1.pst.562.xls,22,44,22,6,3
lindy_donoho_000_1_1_1.pst.123.xls,4914,10645,11153,5854,5548
mike_swerzbin_000_1_1.pst.1.xls,16,21,16,21,16
kate_symes_000_1_1.pst.599.xls,22,44,22,6,3
lisa_gang_000_1_1.pst.30.xls,514,997,542,253,134
darrell_schoolcraft_000_1_1_1.pst.125.xls,41,94,74,82,66
paul_y'barbo_000_1_1.pst.192.xls,88,209,374,209,374
theresa_staab_000_1_1.pst.396.xls,280,436,280,383,254
mike_carson_000_1_1.pst.93.xls,51,88,97,33,37
jason_wolfe_000_1_2.pst.23.xls,2592,4610,3165,4400,2775
