File name,Formulae,Vertices,Edges,InRow Vertices,InRow Edges,TACO Vertices,TACO Edges,Max Dep Ref ,Max Dep,Longest Dep Ref,Longest Dep,RR-Chain-Comp,RR-Chain-NoComp,RR-Comp,RR-NoComp,RF-Comp,RF-NoComp,FR-Comp,FR-NoComp,FF-Comp,FF-NoComp,RR-GapOne,RR-GapOne-NoComp,RR-GapTwo,RR-GapTwo-NoComp,RR-GapThree,RR-GapThree-NoComp,RR-GapFour,RR-GapFour-NoComp,RR-GapFive,RR-GapFive-NoComp,RR-GapSix,RR-GapSix-NoComp,RR-GapSeven,RR-GapSeven-NoComp,NoType,NoType-NoComp
tori_kuykendall_000_1_1_1.pst.93.xls,637,812,852,665,568,227,130,Basis:B8,77,Basis:H25,11,28,92,55,655,0,0,0,0,2,4,23,61,1,2,12,24,0,0,3,7,0,0,1,2,5,5
tracy_geaccone_000_1_1.pst.0.xls,8,20,12,8,6,7,4,TWRev:F8,3,TWRev:F10,2,0,0,2,8,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1
tracy_geaccone_000_1_1.pst.10.xls,35,66,55,66,55,47,31,ForecastQ13-09:C9,7,ForecastQ13-09:C7,4,0,0,3,8,0,0,0,0,0,0,6,22,0,0,0,0,3,6,0,0,0,0,0,0,19,19
tracy_geaccone_000_1_1.pst.100.xls,879,1717,1210,1419,1040,527,347,EGM EXP:K7,7,EGM EXP:G3,4,0,0,106,494,0,0,0,0,0,0,101,550,9,18,17,34,0,0,0,0,0,0,0,0,114,114
tracy_geaccone_000_1_1.pst.101.xls,90,140,95,123,85,46,29,EREC EXP:M21,7,EREC EXP:D16,4,0,0,7,23,0,0,0,0,0,0,10,58,2,4,0,0,0,0,0,0,0,0,0,0,10,10
tracy_geaccone_000_1_1.pst.102.xls,731,1470,1016,1191,854,508,331,EGM EXP:K7,7,EGM EXP:G3,4,0,0,90,306,0,0,0,0,0,0,99,540,10,20,18,36,0,0,0,0,0,0,0,0,114,114
tracy_geaccone_000_1_1.pst.103.xls,395,557,393,509,368,193,116,ETS EXP:O35,11,ETS EXP:K29,6,0,0,47,146,0,0,0,0,0,0,17,155,0,0,7,14,17,34,16,32,0,0,0,0,12,12
tracy_geaccone_000_1_1.pst.104.xls,882,1485,992,1223,840,456,294,EGM EXP:K7,7,EGM EXP:G3,4,0,0,82,282,0,0,0,0,0,0,93,565,8,16,18,36,0,0,0,0,0,0,0,0,93,93
tracy_geaccone_000_1_1.pst.109.xls,141,299,242,152,100,81,52,Sheet1:R12,17,Sheet1:N12,5,0,0,38,216,0,0,0,0,0,0,1,3,1,2,3,6,0,0,2,8,0,0,0,0,7,7
tracy_geaccone_000_1_1.pst.11.xls,156,305,305,111,60,15,10,Sheet1:C12,151,Sheet1:B12,101,0,0,6,297,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tracy_geaccone_000_1_1.pst.111.xls,211,387,369,351,347,181,120,TW Ops:J11,13,CAPEX TW:H65,6,0,0,7,30,0,0,0,0,0,0,64,260,8,16,11,22,2,4,9,18,0,0,0,0,19,19
tracy_geaccone_000_1_1.pst.132.xls,27,70,56,70,56,35,24,QTD:K18,5,QTD:K14,3,0,0,8,24,0,0,0,0,0,0,2,4,0,0,10,22,0,0,2,4,0,0,0,0,2,2
tracy_geaccone_000_1_1.pst.134.xls,26,52,26,32,16,20,10,Sheet1:B24,3,Sheet1:B47,2,0,0,7,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,1,1
tracy_geaccone_000_1_1.pst.136.xls,1081,2063,1873,1057,1123,589,419,Cash Flow:B23,53,Cash Flow:B13,25,0,0,198,1300,0,0,0,0,17,34,112,375,2,4,5,13,25,50,3,6,17,34,17,34,23,23
tracy_geaccone_000_1_1.pst.137.xls,1062,2061,1854,1052,1105,554,401,Cash Flow:B23,53,Cash Flow:B13,25,0,0,206,1315,0,0,0,0,0,0,115,397,2,4,5,13,25,54,3,6,17,34,3,6,25,25
tracy_geaccone_000_1_1.pst.138.xls,10,30,20,30,20,6,4,Sheet1:C16,1,Sheet1:I10,1,0,0,0,0,0,0,0,0,0,0,4,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tracy_geaccone_000_1_1.pst.142.xls,114,203,208,199,206,143,116,Cancun:E21,6,Cancun:G6,3,0,0,2,4,0,0,0,0,0,0,54,114,0,0,28,56,1,2,0,0,1,2,0,0,30,30
tracy_geaccone_000_1_1.pst.146.xls,17197,29545,30102,17940,18354,8685,6655,Trackers:D61,1098,Trackers:D184,54,38,239,3613,23392,0,0,0,0,90,180,1046,2543,233,540,276,687,314,666,235,488,339,750,145,290,326,326
tracy_geaccone_000_1_1.pst.147.xls,13889,23008,22045,13601,13581,6879,5034,Trackers:D45,875,Trackers:D344,43,18,190,2755,17085,0,0,0,0,12,24,969,2226,137,299,123,324,204,408,101,220,387,846,94,188,234,234
tracy_geaccone_000_1_1.pst.148.xls,30,60,58,59,54,37,25,Sheet1:C8,8,Sheet1:I22,4,0,0,0,0,0,0,0,0,0,0,10,34,3,6,5,10,0,0,0,0,0,0,1,2,6,6
tracy_geaccone_000_1_1.pst.149.xls,30,60,58,59,54,37,25,Sheet1:C8,8,Sheet1:I22,4,0,0,0,0,0,0,0,0,0,0,10,34,3,6,5,10,0,0,0,0,0,0,1,2,6,6
tracy_geaccone_000_1_1.pst.151.xls,15065,25250,24388,15341,15410,7796,5569,Trackers:D61,1098,Trackers:D184,54,19,201,3039,18785,0,0,0,0,90,180,1107,2664,146,316,204,525,233,480,35,106,328,656,106,212,262,262
tracy_geaccone_000_1_1.pst.152.xls,13526,22702,21902,13671,13809,7155,5137,Trackers:D45,875,Trackers:D344,43,18,190,2846,16944,0,0,0,0,12,24,1066,2432,176,377,123,324,194,402,17,34,323,682,130,260,232,232
tracy_geaccone_000_1_1.pst.153.xls,148,250,159,118,94,89,49,Summary by BU:H22,11,Summary by BU:K22,5,0,0,16,81,0,0,0,0,1,2,18,55,0,0,0,0,0,0,0,0,7,14,0,0,7,7
tracy_geaccone_000_1_1.pst.154.xls,160,268,225,99,83,31,20,Sheet1:N17,8,Sheet1:F6,4,0,0,20,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tracy_geaccone_000_1_1.pst.155.xls,34,65,33,63,32,17,9,Reserves:D11,5,Reserves:F11,3,0,0,1,12,0,0,0,0,0,0,5,18,0,0,0,0,0,0,0,0,0,0,0,0,3,3
tracy_geaccone_000_1_1.pst.156.xls,1081,2063,1873,1057,1123,589,419,Cash Flow:B23,53,Cash Flow:B13,25,0,0,198,1300,0,0,0,0,17,34,112,375,2,4,5,13,25,50,3,6,17,34,17,34,23,23
tracy_geaccone_000_1_1.pst.157.xls,48,111,66,29,19,19,11,Capital Deployed:G59,12,Capital Deployed:G59,7,0,0,6,53,0,0,0,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0,2,2
tracy_geaccone_000_1_1.pst.158.xls,600,1568,1348,1526,1318,533,345,Aug:AK6,30,Aug:AK6,30,3,89,49,674,0,0,0,0,0,0,2,4,88,177,0,0,198,396,3,6,0,0,0,0,2,2
tracy_geaccone_000_1_1.pst.159.xls,201,295,252,192,172,155,105,Recap:F19,18,Recap:F18,7,0,0,29,101,0,0,0,0,0,0,43,113,0,0,1,2,0,0,1,2,0,0,3,6,28,28
tracy_geaccone_000_1_1.pst.160.xls,406,1554,1330,201,154,113,87,IT:K18,6,IT:G14,4,0,0,76,1318,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,10,10
tracy_geaccone_000_1_1.pst.162.xls,6,15,12,15,12,15,12,O&M TracyG:Q13,1,O&M TracyG:K13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12
tracy_geaccone_000_1_1.pst.163.xls,20,36,32,36,32,14,12,2002TWDepr:I15,6,2002TWDepr:I21,3,0,0,0,0,0,0,0,0,0,0,6,16,6,16,0,0,0,0,0,0,0,0,0,0,0,0
tracy_geaccone_000_1_1.pst.164.xls,108,218,177,165,139,73,46,NNG Imb. & Purch.:S12,8,NNG Imb. & Purch.:M15,4,0,0,6,48,0,0,0,0,0,0,16,83,0,0,22,44,0,0,0,0,0,0,0,0,2,2
tracy_geaccone_000_1_1.pst.165.xls,54,132,96,69,44,30,23,NNG commercial-O&M:Y17,5,NNG commercial-O&M:G15,2,0,0,16,68,0,0,0,0,0,0,1,20,0,0,2,4,0,0,0,0,0,0,0,0,4,4
tracy_geaccone_000_1_1.pst.166.xls,901,1528,1890,1360,1613,73,53,contract:E2,497,contract:E2,497,3,534,16,1151,0,0,0,0,15,136,2,4,1,2,1,3,0,0,0,0,0,0,0,0,15,15
tracy_geaccone_000_1_1.pst.168.xls,145,315,222,186,114,69,51,Without EPSC:Y16,5,Without EPSC:Q15,2,0,0,36,144,0,0,0,0,0,0,3,60,0,0,0,0,0,0,6,12,0,0,0,0,6,6
tracy_geaccone_000_1_1.pst.169.xls,893,1241,1605,390,395,228,254,2003:G12,41,2003:C61,4,0,0,212,1492,0,0,0,0,12,66,15,30,2,4,0,0,0,0,0,0,0,0,0,0,13,13
tracy_geaccone_000_1_1.pst.17.xls,59,104,84,64,60,62,45,Detail:C27,4,Detail:C64,4,0,0,8,32,0,0,0,0,0,0,3,6,2,4,0,0,4,11,0,0,2,4,1,2,25,25
tracy_geaccone_000_1_1.pst.171.xls,108,218,177,165,139,73,46,NNG Imb. & Purch.:S12,8,NNG Imb. & Purch.:M15,4,0,0,6,48,0,0,0,0,0,0,16,83,0,0,22,44,0,0,0,0,0,0,0,0,2,2
