Memory Storage,Baseline,Test Spreadsheet,Run,Total time of adding the batch (ms)
DB,NoComp,github_max4.xlsx,RUN1,489082
DB,NoComp,github_max4.xlsx,RUN2,495447
DB,NoComp,github_max4.xlsx,RUN3,578166
,Antifreeze,github_max4.xlsx,,1000000000
DB,TACO,github_max5.xlsx,RUN1,11264
DB,TACO,github_max5.xlsx,RUN2,12763
DB,TACO,github_max5.xlsx,RUN3,11336
DB,NoComp,github_max5.xlsx,RUN1,784859
DB,NoComp,github_max5.xlsx,RUN2,760697
DB,NoComp,github_max5.xlsx,RUN3,714078
,Antifreeze,github_max5.xlsx,,1000000000
DB,TACO,github_long1.xlsx,RUN1,6850
DB,TACO,github_long1.xlsx,RUN2,7349
DB,TACO,github_long1.xlsx,RUN3,7384
,NoComp,github_long1.xlsx,,1000000000
,Antifreeze,github_long1.xlsx,,1000000000
DB,TACO,github_long2.xlsx,RUN1,2308
DB,TACO,github_long2.xlsx,RUN2,2319
DB,TACO,github_long2.xlsx,RUN3,2414
DB,NoComp,github_long2.xlsx,RUN1,191563
DB,NoComp,github_long2.xlsx,RUN2,182417
DB,NoComp,github_long2.xlsx,RUN3,160267
,Antifreeze,github_long2.xlsx,,1000000000
DB,TACO,github_long3.xlsx,RUN1,2283
DB,TACO,github_long3.xlsx,RUN2,2658
DB,TACO,github_long3.xlsx,RUN3,2682
DB,NoComp,github_long3.xlsx,RUN1,148170
DB,NoComp,github_long3.xlsx,RUN2,137444
DB,NoComp,github_long3.xlsx,RUN3,114102
,Antifreeze,github_long3.xlsx,,1000000000
