Memory Storage,Baseline,Test Spreadsheet,Run,Total time of getting dependents (ms)
memOnly,NoComp,github_long2.xlsx,RUN1,1173
memOnly,NoComp,github_long2.xlsx,RUN2,1211
memOnly,NoComp,github_long2.xlsx,RUN3,1167
,Antifreeze,github_long2.xlsx,,1000000
memOnly,TACO,github_long3.xlsx,RUN1,1
memOnly,TACO,github_long3.xlsx,RUN2,1
memOnly,TACO,github_long3.xlsx,RUN3,1
memOnly,NoComp,github_long3.xlsx,RUN1,991
memOnly,NoComp,github_long3.xlsx,RUN2,962
memOnly,NoComp,github_long3.xlsx,RUN3,1046
,Antifreeze,github_long3.xlsx,,1000000
