Spreadsheet name,Total edges,Total formulae,Total nodes,TACO edges,TACO formulae,TACO nodes,Type0 edges,Type0 uncompressed edges,Type1 edges,Type1 uncompressed edges,Type2 edges,Type2 uncompressed edges,Type3 edges,Type3 uncompressed edges,Type4 edges,Type4 uncompressed edges,Type5 edges,Type5 uncompressed edges,Notype edges,Notype nodes,Deduplicated Edges
andy_zipper_000_1_1.pst.79.xls,6155,2616,8771,38,31,65,0,0,27,4116,0,0,0,0,4,8,0,0,7,7,4131
andy_zipper_000_1_1.pst.80.xls,6157,2618,8775,39,32,67,0,0,28,4118,0,0,0,0,4,8,0,0,7,7,4133
andy_zipper_000_1_1.pst.81.xls,6052,2593,8645,41,34,71,0,0,28,4059,0,0,0,0,4,8,0,0,9,9,4076
andy_zipper_000_1_1.pst.82.xls,6336,2678,9014,86,57,119,0,0,47,4235,0,0,1,2,26,54,5,10,7,7,4308
andy_zipper_000_1_1.pst.83.xls,75047,33483,108530,1855,943,2767,0,0,840,53717,0,0,0,0,4,8,292,662,719,719,55106
andy_zipper_000_1_1.pst.84.xls,91625,42460,134085,851,441,1287,0,0,572,72065,0,0,0,0,4,8,126,286,149,149,72508
andy_zipper_000_1_1.pst.85.xls,94369,43380,137749,839,435,1269,0,0,568,73607,0,0,0,0,4,8,132,286,135,135,74036
andy_zipper_000_1_1.pst.87.xls,88787,41812,130599,847,439,1281,0,0,534,70677,0,0,0,0,4,8,106,242,203,203,71130
andy_zipper_000_1_1.pst.88.xls,91902,43419,135321,1115,573,1683,0,0,746,72674,0,0,0,0,4,8,174,364,191,191,73237
andy_zipper_000_1_1.pst.89.xls,7355,1919,9274,13,5,15,0,0,11,4637,0,0,0,0,2,906,0,0,0,0,5543
andy_zipper_000_1_1.pst.92.xls,92164,42379,134543,717,374,1086,0,0,470,72258,0,0,0,0,4,8,106,228,137,137,72631
andy_zipper_000_1_1.pst.94.xls,7821,2037,9858,13,5,15,0,0,11,4929,0,0,0,0,2,964,0,0,0,0,5893
andy_zipper_000_1_1.pst.97.xls,95310,43599,138909,703,367,1065,0,0,472,74148,0,0,0,0,4,8,90,200,137,137,74493
andy_zipper_001_1_1.pst.346.xls,1260,156,1416,180,34,99,0,0,23,189,0,0,0,0,96,991,0,0,61,61,1241
andy_zipper_001_1_1.pst.401.xls,3330,1342,4672,260,133,249,0,0,255,2675,0,0,0,0,3,6,0,0,2,2,2683
barry_tycholiz_000_1_1.pst.10.xls,22,16,38,6,5,10,0,0,3,19,0,0,0,0,0,0,0,0,3,3,22
barry_tycholiz_000_1_1.pst.13.xls,297,158,455,25,16,28,0,0,10,152,0,0,0,0,8,138,0,0,7,7,297
barry_tycholiz_000_1_1.pst.14.xls,82,60,142,13,11,23,0,0,8,77,0,0,0,0,0,0,0,0,5,5,82
barry_tycholiz_000_1_1.pst.16.xls,81,59,140,12,10,22,0,0,8,77,0,0,0,0,0,0,0,0,4,4,81
barry_tycholiz_000_1_1.pst.30.xls,140,70,210,40,20,44,0,0,40,140,0,0,0,0,0,0,0,0,0,0,140
barry_tycholiz_000_1_1.pst.31.xls,62,38,100,7,5,8,0,0,4,48,0,0,0,0,1,12,0,0,2,2,62
barry_tycholiz_000_1_1.pst.32.xls,131,49,180,25,13,27,0,0,10,68,0,0,0,0,10,56,0,0,5,5,129
barry_tycholiz_000_1_1.pst.33.xls,860,555,1415,248,173,350,1,2,128,629,0,0,0,0,28,63,3,6,88,88,788
barry_tycholiz_000_1_1.pst.34.xls,971,615,1586,322,226,455,1,2,133,664,0,0,0,0,29,65,9,18,150,150,899
barry_tycholiz_000_1_1.pst.35.xls,224,105,329,107,48,123,0,0,22,136,0,0,0,0,1,2,2,4,82,82,224
barry_tycholiz_000_1_1.pst.39.xls,137,35,172,15,11,20,0,0,7,60,0,0,0,0,5,71,0,0,3,3,134
barry_tycholiz_000_1_1.pst.41.xls,32,24,56,18,17,34,0,0,1,8,0,0,0,0,1,8,0,0,16,16,32
barry_tycholiz_000_1_1.pst.42.xls,94,47,141,26,13,39,0,0,20,88,0,0,0,0,0,0,0,0,6,6,94
barry_tycholiz_000_1_1.pst.43.xls,5904,2362,8266,1545,673,1468,0,0,1466,5798,0,0,0,0,0,0,27,54,52,52,5904
